Fund/Index,GAVAX,GAVIX,MSCI World Index,MSCI All Country World Index,Blended Benchmark-MF,UCITS Net,UCITS Gross,MSCI World Index,MSCI All Country World Index,Blended Benchmark-UCITS,KNLGX,MSCI World Index (TR),KNLGEX,MSCI EM (TR),KNLG,MSCI World Index (PR),KNLGE,MSCI EM (PR),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1M,0.14%,0.14%,-1.57%,-1.55%,-0.68%,-0.04%,0.13%,-1.57%,-1.55%,-0.68%,-0.30%,-1.57%,-1.02%,-1.42%,-0.51%,-1.81%,-1.15%,-1.59%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3M,4.84%,4.88%,2.31%,2.31%,2.13%,4.43%,4.95%,2.31%,2.31%,2.13%,6.07%,2.31%,3.72%,2.24%,5.72%,1.82%,3.46%,1.91%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.48 ,57.55%,9.99%
6M,8.54%,8.66%,3.35%,2.73%,3.17%,7.75%,8.81%,3.35%,2.73%,3.17%,8.45%,3.35%,-0.55%,-2.37%,7.85%,2.50%,-1.05%,-3.06%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YTD,4.84%,4.88%,2.31%,2.31%,2.13%,4.43%,4.95%,2.31%,2.31%,2.13%,6.07%,2.31%,3.72%,2.24%,5.72%,1.82%,3.46%,1.91%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1Y,9.03%,9.22%,6.03%,5.42%,5.51%,7.14%,9.29%,6.03%,5.42%,5.51%,10.43%,6.03%,4.74%,0.44%,8.74%,4.00%,2.52%,-2.02%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2Y,20.51%,21.00%,26.23%,22.90%,15.3%,18.54%,23.34%,26.23%,22.90%,15.3%,32.55%,26.23%,9.24%,-0.78%,27.99%,21.34%,4.17%,-5.62%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3Y,33.11%,34.03%,41.20%,35.84%,24.25%,27.87%,35.72%,41.20%,35.84%,24.25%,51.46%,41.20%,19.44%,0.94%,43.04%,32.68%,10.61%,-6.42%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5Y,,,61.09%,53.83%,42.37%,56.92%,73.29%,61.09%,53.83%,42.37%,89.65%,61.09%,56.45%,9.04%,71.88%,45.00%,36.08%,-3.54%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10Y,,,85.77%,86.60%,81.27%,,99.68%,85.77%,86.60%,81.27%,,85.77%,,125.59%,,51.22%,,77.62%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Since Inception,55.34%,57.32%,62.12%,53.09%,37.35%,68.61%,99.68%,52.54%,51.37%,55.51%,87.99%,36.34%,112.80%,26.83%,59.96%,14.97%,69.74%,4.92%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
