Date,NAV GAVIX,NAV GAVAX,NAV UCITS Net USD,Date,,,,0
3/31/2015,14.41,14.29,168.88,3/31/2015,,,0,
3/30/2015,14.58,14.45,170.49,3/30/2015,,,0,
3/27/2015,14.51,14.38,169.82,3/27/2015,,,0,
3/26/2015,14.45,14.32,169.43,3/26/2015,,,0,
3/25/2015,14.51,14.39,170.34,3/25/2015,,,0,
3/24/2015,14.67,14.55,171.95,3/24/2015,,,0,
3/23/2015,14.7,14.57,172.28,3/23/2015,,,0,
3/20/2015,14.65,14.52,171.43,3/20/2015,,,0,
3/19/2015,14.55,14.42,170.52,3/19/2015,,,0,
3/18/2015,14.6,14.47,170.66,3/18/2015,,,0,
3/17/2015,14.43,14.3,168.68,3/17/2015,,,0,
3/16/2015,14.42,14.3,168.68,3/16/2015,,,0,
3/13/2015,14.3,14.18,167.55,3/13/2015,,,0,
3/12/2015,14.34,14.22,167.66,3/12/2015,,,0,
3/11/2015,14.19,14.07,166.15,3/11/2015,,,0,
3/10/2015,14.19,14.06,166.35,3/10/2015,,,0,
3/09/2015,14.34,14.21,167.84,3/09/2015,,,0,
3/06/2015,14.29,14.16,167.54,3/06/2015,,,0,
3/05/2015,14.42,14.3,168.98,3/05/2015,,,0,
3/04/2015,14.37,14.25,168.56,3/04/2015,,,0,
3/03/2015,14.38,14.25,168.7,3/03/2015,,,0,
3/02/2015,14.43,14.31,169.16,3/02/2015,,,0,
2/27/2015,14.39,14.27,168.94,2/27/2015,,,0,
2/26/2015,14.41,14.28,168.94,2/26/2015,,,0,
2/25/2015,14.38,14.26,168.75,2/25/2015,,,0,
2/24/2015,14.41,14.29,168.97,2/24/2015,,,0,
2/23/2015,14.37,14.24,168.34,2/23/2015,,,0,
2/20/2015,14.36,14.24,168.34,2/20/2015,,,0,
2/19/2015,14.25,14.13,167.15,2/19/2015,,,0,
2/18/2015,14.23,14.11,166.78,2/18/2015,,,0,
2/17/2015,14.19,14.07,166.46,2/17/2015,,,0,
2/16/2015,14.19,14.07,166.42,2/16/2015,,,0,
2/13/2015,14.19,14.07,166.42,2/13/2015,,,0,
2/12/2015,14.13,14.01,165.83,2/12/2015,,,0,
2/11/2015,14.01,13.89,164.26,2/11/2015,,,0,
2/10/2015,14.01,13.89,164.26,2/10/2015,,,0,
2/09/2015,13.88,13.77,163.22,2/09/2015,,,0,
2/06/2015,13.94,13.82,164.54,2/06/2015,,,0,
2/05/2015,14.04,13.92,164.54,2/05/2015,,,0,
2/04/2015,13.96,13.84,164.04,2/04/2015,,,0,
2/03/2015,14.02,13.9,164.22,2/03/2015,,,0,
2/02/2015,13.96,13.84,163.75,2/02/2015,,,0,
1/30/2015,13.89,13.77,163.21,1/30/2015,,,0,
1/29/2015,14.01,13.89,164.22,1/29/2015,,,0,
1/28/2015,13.89,13.77,163.5,1/28/2015,,,0,
1/27/2015,13.99,13.87,164.68,1/27/2015,,,0,
1/26/2015,14.04,13.92,164.67,1/26/2015,,,0,
1/23/2015,14.01,13.89,165.3,1/23/2015,,,0,
1/22/2015,14.08,13.96,165.3,1/22/2015,,,0,
1/21/2015,13.94,13.83,163.93,1/21/2015,,,0,
1/20/2015,13.93,13.81,163.73,1/20/2015,,,0,
1/19/2015,13.91,13.8,163.23,1/19/2015,,,0,
1/16/2015,13.91,13.8,163.23,1/16/2015,,,0,
1/15/2015,13.81,13.7,162.39,1/15/2015,,,0,
1/14/2015,13.84,13.72,162.39,1/14/2015,,,0,
1/13/2015,13.85,13.73,162.41,1/13/2015,,,0,
1/12/2015,13.83,13.71,162.48,1/12/2015,,,0,
1/09/2015,13.86,13.75,162.75,1/09/2015,,,0,
1/08/2015,13.9,13.79,162.74,1/08/2015,,,0,
1/07/2015,13.7,13.59,160.31,1/07/2015,,,0,
1/06/2015,13.58,13.47,159.55,1/06/2015,,,0,
1/05/2015,13.69,13.58,161.11,1/05/2015,,,0,
1/02/2015,13.76,13.65,161.83,1/02/2015,,,0,
12/31/2014,13.74,13.63,161.71,12/31/2014,,,0,
12/30/2014,13.84,13.72,162.85,12/30/2014,,,0,
12/29/2014,13.89,13.78,163.03,12/29/2014,,,0,
12/24/2014,13.91,13.79,163.03,12/24/2014,,,0,
12/23/2014,13.89,13.78,163.03,12/23/2014,,,0,
12/22/2014,13.94,13.83,163.82,12/22/2014,,,0,
12/19/2014,13.89,13.78,163.33,12/19/2014,,,0,
12/18/2014,13.86,13.75,162.5,12/18/2014,,,0,
12/17/2014,13.65,13.54,160.4,12/17/2014,,,0,
12/16/2014,13.53,13.42,159.51,12/16/2014,,,0,
12/15/2014,13.59,13.48,160.22,12/15/2014,,,0,
12/12/2014,13.65,13.54,162.21,12/12/2014,,,0,
12/11/2014,13.78,13.67,162.21,12/11/2014,,,0,
12/10/2014,13.73,13.62,161.97,12/10/2014,,,0,
12/09/2014,13.88,13.77,163.96,12/09/2014,,,0,
12/08/2014,14.29,14.14,164.04,12/08/2014,,,0,
12/05/2014,14.35,14.2,164.49,12/05/2014,,,0,
12/04/2014,14.33,14.18,164.43,12/04/2014,,,0,
12/03/2014,14.33,14.18,164.26,12/03/2014,,,0,
12/02/2014,14.28,14.13,163.56,12/02/2014,,,0,
12/01/2014,14.25,14.1,163.56,12/01/2014,,,0,
11/28/2014,14.26,14.11,163.64,11/28/2014,,,0,
11/27/2014,14.22,14.07,163.24,11/27/2014,,,0,
11/26/2014,14.22,14.07,163.24,11/26/2014,,,0,
11/25/2014,14.18,14.04,162.83,11/25/2014,,,0,
11/24/2014,14.19,14.05,162.75,11/24/2014,,,0,
11/21/2014,14.16,14.01,162.47,11/21/2014,,,0,
11/20/2014,14.1,13.96,161.93,11/20/2014,,,0,
11/19/2014,14.11,13.96,161.87,11/19/2014,,,0,
11/18/2014,14.15,14,162.39,11/18/2014,,,0,
11/17/2014,14.04,13.9,160.93,11/17/2014,,,0,
11/14/2014,14.07,13.93,161.49,11/14/2014,,,0,
11/13/2014,14.09,13.95,161.76,11/13/2014,,,0,
11/12/2014,14.04,13.89,161.26,11/12/2014,,,0,
11/11/2014,14.04,13.89,160.57,11/11/2014,,,0,
11/10/2014,14,13.85,160.57,11/10/2014,,,0,
11/07/2014,13.92,13.78,159.79,11/07/2014,,,0,
11/06/2014,13.99,13.85,160.34,11/06/2014,,,0,
11/05/2014,13.96,13.82,160.34,11/05/2014,,,0,
11/04/2014,13.94,13.79,160.14,11/04/2014,,,0,
11/03/2014,13.95,13.81,159.29,11/03/2014,,,0,
10/31/2014,14,13.86,160.34,10/31/2014,,,0,
10/30/2014,13.88,13.74,158.94,10/30/2014,,,0,
10/29/2014,13.81,13.67,158.94,10/29/2014,,,0,
10/28/2014,13.83,13.69,158.82,10/28/2014,,,0,
10/27/2014,13.71,13.57,156,10/27/2014,,,0,
10/24/2014,13.69,13.55,156,10/24/2014,,,0,
10/23/2014,13.6,13.46,156,10/23/2014,,,0,
10/22/2014,13.45,13.32,154.76,10/22/2014,,,0,
10/21/2014,13.51,13.37,154.92,10/21/2014,,,0,
10/20/2014,13.33,13.2,153.18,10/20/2014,,,0,
10/17/2014,13.23,13.1,151.82,10/17/2014,,,0,
10/16/2014,13.17,13.04,152.01,10/16/2014,,,0,
10/15/2014,13.21,13.07,152.01,10/15/2014,,,0,
10/14/2014,13.22,13.09,151.95,10/14/2014,,,0,
10/13/2014,13.19,13.06,153.2,10/13/2014,,,0,
10/10/2014,13.32,13.19,153.2,10/10/2014,,,0,
10/09/2014,13.46,13.33,155.11,10/09/2014,,,0,
10/08/2014,13.68,13.55,156.95,10/08/2014,,,0,
10/07/2014,13.52,13.38,156.74,10/07/2014,,,0,
10/06/2014,13.64,13.51,156.74,10/06/2014,,,0,
10/03/2014,13.58,13.44,155.7,10/03/2014,,,0,
10/02/2014,13.47,13.34,154.93,10/02/2014,,,0,
10/01/2014,13.49,13.36,155.3,10/01/2014,,,0,
9/30/2014,13.63,13.5,156.74,9/30/2014,,,0,
9/29/2014,13.68,13.54,157.31,9/29/2014,,,0,
9/26/2014,13.7,13.56,157.36,9/26/2014,,,0,
9/25/2014,13.65,13.51,157.24,9/25/2014,,,0,
9/24/2014,13.79,13.66,158.04,9/24/2014,,,0,
9/23/2014,13.72,13.58,158.04,9/23/2014,,,0,
9/22/2014,13.8,13.67,158.93,9/22/2014,,,0,
9/19/2014,13.85,13.71,159.51,9/19/2014,,,0,
9/18/2014,13.89,13.76,159.4,9/18/2014,,,0,
9/17/2014,13.83,13.7,159.4,9/17/2014,,,0,
9/16/2014,13.87,13.73,159.69,9/16/2014,,,0,
9/15/2014,13.8,13.66,159.07,9/15/2014,,,0,
9/12/2014,13.84,13.7,159.53,9/12/2014,,,0,
9/11/2014,13.9,13.76,160.3,9/11/2014,,,0,
9/10/2014,13.9,13.76,160.08,9/10/2014,,,0,
9/09/2014,13.85,13.71,159.76,9/09/2014,,,0,
9/08/2014,13.91,13.77,160.56,9/08/2014,,,0,
9/05/2014,13.95,13.81,160.93,9/05/2014,,,0,
9/04/2014,13.91,13.78,160.55,9/04/2014,,,0,
9/03/2014,13.96,13.82,161.05,9/03/2014,,,0,
9/02/2014,13.94,13.81,160.79,9/02/2014,,,0,
9/01/2014,13.93,13.79,160.81,9/01/2014,,,0,
8/29/2014,13.93,13.79,160.81,8/29/2014,,,0,
8/28/2014,13.89,13.76,160.37,8/28/2014,,,0,
8/27/2014,13.89,13.76,160.35,8/27/2014,,,0,
8/26/2014,13.93,13.79,160.7,8/26/2014,,,0,
8/25/2014,13.93,13.8,160.79,8/25/2014,,,0,
8/22/2014,13.88,13.75,160.19,8/22/2014,,,0,
8/21/2014,13.91,13.78,160.57,8/21/2014,,,0,
8/20/2014,13.89,13.76,160.43,8/20/2014,,,0,
8/19/2014,13.92,13.78,160.68,8/19/2014,,,0,
8/18/2014,13.89,13.76,160.35,8/18/2014,,,0,
8/15/2014,13.84,13.71,159.76,8/15/2014,,,0,
8/14/2014,13.83,13.69,159.7,8/14/2014,,,0,
8/13/2014,13.78,13.64,159.11,8/13/2014,,,0,
8/12/2014,13.69,13.56,158.24,8/12/2014,,,0,
8/11/2014,13.7,13.56,158.28,8/11/2014,,,0,
8/08/2014,13.63,13.5,157.32,8/08/2014,,,0,
8/07/2014,13.55,13.42,156.75,8/07/2014,,,0,
8/06/2014,13.62,13.49,157.37,8/06/2014,,,0,
8/05/2014,13.65,13.52,157.89,8/05/2014,,,0,
8/04/2014,13.75,13.61,158.3,8/04/2014,,,0,
8/01/2014,13.67,13.54,158.3,8/01/2014,,,0,
7/31/2014,13.69,13.55,158.43,7/31/2014,,,0,
7/30/2014,13.87,13.73,160.2,7/30/2014,,,0,
7/29/2014,13.84,13.71,160.1,7/29/2014,,,0,
7/28/2014,13.89,13.76,160.73,7/28/2014,,,0,
7/25/2014,13.87,13.74,160.53,7/25/2014,,,0,
7/24/2014,13.91,13.77,160.91,7/24/2014,,,0,
7/23/2014,13.89,13.76,160.78,7/23/2014,,,0,
7/22/2014,13.88,13.75,160.68,7/22/2014,,,0,
7/21/2014,13.82,13.69,160.05,7/21/2014,,,0,
7/18/2014,13.85,13.72,160.31,7/18/2014,,,0,
7/17/2014,13.77,13.63,159.55,7/17/2014,,,0,
7/16/2014,13.87,13.74,160.64,7/16/2014,,,0,
7/15/2014,13.83,13.7,160.24,7/15/2014,,,0,
7/14/2014,13.88,13.75,160.92,7/14/2014,,,0,
7/11/2014,13.82,13.69,160.14,7/11/2014,,,0,
7/10/2014,13.79,13.66,159.97,7/10/2014,,,0,
7/09/2014,13.85,13.72,160.59,7/09/2014,,,0,
7/08/2014,13.81,13.68,160.22,7/08/2014,,,0,
7/07/2014,13.91,13.78,161.25,7/07/2014,,,0,
7/04/2014,13.97,13.84,161.94,7/04/2014,,,0,
7/03/2014,13.97,13.84,161.94,7/03/2014,,,0,
7/02/2014,13.93,13.8,161.53,7/02/2014,,,0,
7/01/2014,13.93,13.8,161.58,7/01/2014,,,0,
6/30/2014,13.85,13.72,160.7,6/30/2014,,,0,
6/27/2014,13.85,13.72,160.53,6/27/2014,,,0,
6/26/2014,13.84,13.71,160.46,6/26/2014,,,0,
6/25/2014,13.89,13.76,160.98,6/25/2014,,,0,
6/24/2014,13.83,13.7,160.41,6/24/2014,,,0,
6/23/2014,13.88,13.75,160.95,6/23/2014,,,0,
6/20/2014,13.91,13.78,161.15,6/20/2014,,,0,
6/19/2014,13.89,13.76,161.14,6/19/2014,,,0,
6/18/2014,13.85,13.73,160.37,6/18/2014,,,0,
6/17/2014,13.77,13.64,159.52,6/17/2014,,,0,
6/16/2014,13.72,13.59,158.99,6/16/2014,,,0,
6/13/2014,13.69,13.56,158.52,6/13/2014,,,0,
6/12/2014,13.66,13.54,158.38,6/12/2014,,,0,
6/11/2014,13.69,13.57,158.78,6/11/2014,,,0,
6/10/2014,13.73,13.61,159.13,6/10/2014,,,0,
6/09/2014,13.75,13.62,159.27,6/09/2014,,,0,
6/06/2014,13.75,13.62,159.14,6/06/2014,,,0,
6/05/2014,13.72,13.59,158.75,6/05/2014,,,0,
6/04/2014,13.66,13.54,158.17,6/04/2014,,,0,
6/03/2014,13.62,13.5,157.79,6/03/2014,,,0,
5/30/2014,13.65,13.53,158.14,5/30/2014,,,0,
5/29/2014,13.64,13.51,157.99,5/29/2014,,,0,
5/28/2014,13.56,13.44,157.2,5/28/2014,,,0,
5/27/2014,13.57,13.44,157.14,5/27/2014,,,0,
5/26/2014,13.49,13.37,156.35,5/26/2014,,,0,
5/23/2014,13.49,13.37,156.35,5/23/2014,,,0,
5/22/2014,13.46,13.34,156.12,5/22/2014,,,0,
5/21/2014,13.44,13.32,155.7,5/21/2014,,,0,
5/20/2014,13.39,13.27,155.38,5/20/2014,,,0,
5/19/2014,13.44,13.32,155.91,5/19/2014,,,0,
5/16/2014,13.39,13.27,155.32,5/16/2014,,,0,
5/15/2014,13.36,13.24,155.01,5/15/2014,,,0,
5/14/2014,13.43,13.31,155.96,5/14/2014,,,0,
5/13/2014,13.46,13.34,156.13,5/13/2014,,,0,
